sample,pulse1,pulse2,triangle,noise,dmc,mixed
122601,0,0.6,0.666667,0,0.992126,0.402132
122602,0,0.6,0.666667,0,0.992126,0.402132
122603,0,0.6,0.666667,0,0.992126,0.402132
122604,0,0.6,0.666667,0,0.992126,0.402132
122605,0,0.6,0.666667,1,0.992126,0.500932
122606,0,0.6,0.666667,1,0.992126,0.500932
122607,0,0.6,0.666667,1,0.992126,0.500932
122608,0,0.6,0.666667,1,0.992126,0.500932
122609,0,0.6,0.666667,0,0.992126,0.402132
122610,0,0.6,0.666667,0,0.992126,0.402132
122611,0,0.6,0.666667,0,0.992126,0.402132
122612,0,0.6,0.666667,1,0.992126,0.500932
122613,0,0.6,0.666667,1,0.992126,0.500932
122614,0,0.6,0.733333,1,0.992126,0.512279
122615,0,0.6,0.733333,1,0.992126,0.512279
122616,0,0.6,0.733333,0,0.992126,0.413479
122617,0,0.6,0.733333,1,0.992126,0.512279
122618,0,0.6,0.733333,1,0.992126,0.512279
122619,0,0.6,0.733333,1,0.992126,0.512279
122620,0,0.6,0.733333,1,0.992126,0.512279
122621,0,0.6,0.733333,0,0.992126,0.413479
122622,0,0.6,0.733333,0,0.992126,0.413479
122623,0,0.6,0.733333,0,0.992126,0.413479
122624,0,0.6,0.733333,0,0.992126,0.413479
122625,0,0.6,0.733333,1,0.992126,0.512279
122626,0,0.6,0.733333,1,0.992126,0.512279
122627,0,0.6,0.733333,1,0.992126,0.512279
122628,0,0.6,0.733333,0,0.992126,0.413479
122629,0,0.6,0.733333,0,0.992126,0.413479
122630,0,0.6,0.733333,1,0.992126,0.512279
122631,0,0.6,0.733333,1,0.992126,0.512279
122632,0,0.6,0.733333,1,0.992126,0.512279
122633,0,0.6,0.733333,0,0.992126,0.413479
122634,0,0.6,0.733333,0,0.992126,0.413479
122635,0,0.6,0.733333,1,0.992126,0.512279
122636,0,0.6,0.733333,1,0.992126,0.512279
122637,0,0.6,0.733333,0,0.992126,0.413479
122638,0,0.6,0.8,1,0.992126,0.523625
122639,0,0.6,0.8,1,0.992126,0.523625
122640,0,0.6,0.8,0,0.992126,0.424825
122641,0,0.6,0.8,1,0.992126,0.523625
122642,0,0.6,0.8,0,0.992126,0.424825
122643,0,0.6,0.8,1,0.992126,0.523625
